Step,Value 1,Value2,Value3,Value4,Value5,Value6
117,,0.927812517,0.873749971,0.773124993,0.2578125,0.186250001
118,,0.926249981,0.880312502,0.772187471,0.245625004,0.185000002
119,,0.92406249,0.873125017,0.771875024,0.245937496,0.185625002
120,,0.920000017,0.877812505,0.770937502,0.25999999,0.184375003
121,,0.924374998,0.872187495,0.770312488,0.255312502,0.180000007
122,,0.922812521,0.881250024,0.766250014,0.276250005,0.185000002
123,,0.925000012,0.881562471,0.760937512,0.255937487,0.170625001
124,,0.925625026,0.884374976,0.770937502,0.261562496,0.189374998
125,,0.930000007,0.882499993,0.782500029,0.268437505,0.190624997
126,,0.925000012,0.881874979,0.790624976,0.290625006,0.185625002
127,,0.926562488,0.881562471,0.77562499,0.295312494,0.182187498
128,,0.930000007,0.879687488,0.771875024,0.3125,0.195625007
129,,0.927812517,0.885625005,0.778124988,0.281562507,0.189374998
130,,0.925312519,0.889687479,0.7734375,0.29468751,0.182812497
131,,0.923437476,0.873125017,0.779999971,0.284375012,0.200625002
132,,0.928749979,0.871562481,0.786249995,0.283749998,0.184375003
133,,0.928125024,0.880937517,0.773124993,0.283125013,0.190937504
134,,0.9140625,0.886874974,0.778437495,0.307812512,0.187187493
135,,0.934374988,0.879999995,0.794375002,0.308124989,0.184687495
136,,0.925000012,0.891250014,0.782500029,0.305000007,0.194374993
137,,0.934687495,0.879687488,0.776250005,0.327187508,0.196875006
138,,0.926562488,0.887187481,0.792187512,0.317812502,0.180000007
139,,0.928749979,0.890937507,0.778124988,0.317812502,0.192812502
140,,0.930312514,0.876250029,0.78687501,0.311874986,0.188437507
141,,0.92750001,0.879687488,0.783124983,0.353437513,0.184687495
142,,0.925625026,0.8828125,0.788749993,0.33375001,0.190937504
143,,0.935937524,0.881874979,0.797812521,0.345625013,0.194687501
144,,0.930000007,0.879374981,0.790624976,0.333437502,0.186250001
145,,0.93187499,0.881250024,0.786562502,0.344999999,0.180937499
146,,0.935625017,0.879062474,0.797187507,0.365937501,0.193749994
147,,0.92750001,0.886250019,0.795312524,0.35718751,0.180937499
148,,0.933749974,0.88499999,0.805312514,0.385625005,0.189687505
149,,0.928125024,0.8828125,0.796249986,0.391250014,0.196562499
150,,0.932500005,0.885625005,0.799374998,0.395624995,0.177812502
151,,0.925625026,0.898124993,0.804374993,0.40062499,0.188749999
152,,0.930000007,0.890625,0.791875005,0.419999987,0.188124999
153,,0.937187493,0.8828125,0.807500005,0.423124999,0.193749994
154,,0.938750029,0.885937512,0.811562479,0.42750001,0.206249997
155,,0.92750001,0.882499993,0.804374993,0.438437492,0.206249997
156,,0.931562483,0.887187481,0.795624971,0.431250006,0.189374998
157,,0.932500005,0.896562517,0.79906249,0.438749999,0.202187493
158,,0.928437471,0.88843751,0.794375002,0.444999993,0.193437502
159,,0.928749979,0.881562471,0.796875,0.453437507,0.196875006
160,,0.934062481,0.884374976,0.812187493,0.451249987,0.203125
161,,0.93531251,0.889374971,0.811249971,0.466874987,0.194374993
162,,0.932187498,0.892499983,0.814999998,0.475625008,0.184687495
163,,0.934374988,0.889999986,0.810937524,0.474999994,0.190312505
164,,0.93187499,0.888750017,0.804062486,0.475312501,0.186875001
165,,0.9375,0.89625001,0.821562529,0.481875002,0.191874996
166,,0.922812521,0.898750007,0.811874986,0.483749986,0.201250002
167,,0.932500005,0.895312488,0.827499986,0.484687507,0.203437507
168,,0.935625017,0.890937507,0.802812517,0.480937511,0.186562493
169,,0.93187499,0.886562526,0.81812501,0.482499987,0.185000002
170,,0.927187502,0.878437519,0.823125005,0.5,0.197500005
171,,0.927812517,0.897812486,0.807187498,0.516875029,0.202812493
172,,0.935625017,0.894375026,0.815937519,0.510625005,0.200937495
173,,0.936562479,0.890625,0.814999998,0.473437488,0.194687501
174,,0.941250026,0.894687474,0.819687486,0.51781249,0.193749994
175,,0.936874986,0.885937512,0.809062481,0.514687479,0.184062496
176,,0.934374988,0.898124993,0.817187488,0.518124998,0.194062501
177,,0.932187498,0.893750012,0.809374988,0.525312483,0.185937494
178,,0.937812507,0.889999986,0.813125014,0.527812481,0.198125005
179,,0.941250026,0.893124998,0.829999983,0.526875019,0.198437497
180,,0.932500005,0.900312483,0.819062471,0.529687524,0.184687495
181,,0.935937524,0.893124998,0.824999988,0.522812486,0.196562499
182,,0.934374988,0.888750017,0.819999993,0.537500024,0.208437502
183,,0.939999998,0.894062519,0.825625002,0.530624986,0.197812498
184,,0.931249976,0.899375021,0.827187479,0.530624986,0.196250007
185,,0.938437521,0.889999986,0.821562529,0.545000017,0.192187503
186,,0.940937519,0.896562517,0.828125,0.530312479,0.199687496
187,,0.940312505,0.90406251,0.826874971,0.539375007,0.201250002
188,,0.929374993,0.895624995,0.809062481,0.524999976,0.188749999
189,,0.935937524,0.897499979,0.827812493,0.540000021,0.204374999
190,,0.934687495,0.894687474,0.83375001,0.54906249,0.197500005
191,,0.944687486,0.891250014,0.821874976,0.5390625,0.194687501
192,,0.944999993,0.899375021,0.836250007,0.554374993,0.196875006
193,,0.938125014,0.897812486,0.832187474,0.560625017,0.199375004
194,,0.938750029,0.895624995,0.82593751,0.553125024,0.201562494
195,,0.936562479,0.88843751,0.815937519,0.550625026,0.215625003
196,,0.937812507,0.904687524,0.815312505,0.556562483,0.215000004
197,,0.93531251,0.89625001,0.835312486,0.545937479,0.199687496
198,,0.933437526,0.888750017,0.834999979,0.552187502,0.206874996
199,,0.941250026,0.897187471,0.835624993,0.56812501,0.211875007
200,,0.945625007,0.89625001,0.842499971,0.570937514,0.194687501
201,,0.9375,0.893124998,0.835624993,0.560937524,0.204999998
202,,0.935937524,0.893437505,0.838437498,0.551874995,0.188437507
203,,0.938750029,0.899687529,0.832812488,0.572812498,0.194999993
204,,0.943437517,0.890625,0.834999979,0.567812502,0.206874996
205,,0.941250026,0.900312483,0.837812483,0.549687505,0.200937495
206,,0.9375,0.893750012,0.822812498,0.565625012,0.204999998
207,,0.941562474,0.900937498,0.839687526,0.577812493,0.215000004
208,,0.93968749,0.899687529,0.845000029,0.564999998,0.197812498
209,,0.938125014,0.898750007,0.836250007,0.579375029,0.217812493
210,,0.93968749,0.90062499,0.843124986,0.567812502,0.200312495
211,,0.937187493,0.905312479,0.842499971,0.571250021,0.212187499
212,,0.942499995,0.895937502,0.833437502,0.578125,0.219062507
213,,0.946250021,0.895624995,0.823125005,0.577187479,0.198750004
214,,0.932812512,0.892499983,0.839999974,0.579687476,0.194687501
215,,0.94312501,0.902187526,0.832187474,0.580937505,0.199062496
216,,0.928437471,0.894375026,0.837499976,0.579375029,0.203437507
217,,0.94749999,0.897812486,0.827499986,0.589375019,0.191249996
218,,0.942812502,0.899375021,0.84375,0.587499976,0.204374999
219,,0.948125005,0.90843749,0.844062507,0.580624998,0.202500001
220,,0.938437521,0.906562507,0.848437488,0.58375001,0.199062496
221,,0.944062471,0.891875029,0.838437498,0.584687471,0.195625007
222,,0.942187488,0.907500029,0.846875012,0.59593749,0.197812498
223,,0.942499995,0.899999976,0.834062517,0.587499976,0.191562504
224,,0.953125,0.895937502,0.850624979,0.581562519,0.217187494
225,,0.942812502,0.907187521,0.8359375,0.594375014,0.208749995
226,,0.942499995,0.904999971,0.836250007,0.588750005,0.216250002
227,,0.95093751,0.904999971,0.842812479,0.592499971,0.191562504
228,,0.935000002,0.901875019,0.831562519,0.589687526,0.203749999
229,,0.943750024,0.907500029,0.845624983,0.597187519,0.211875007
230,,0.938437521,0.893750012,0.844375014,0.592812479,0.200312495
231,,0.941562474,0.90406251,0.836875021,0.584999979,0.218437493
232,,0.9453125,0.896562517,0.844687521,0.60718751,0.207187504
233,,0.944999993,0.899687529,0.844687521,0.596875012,0.236562505
234,,0.943750024,0.899687529,0.832499981,0.597812474,0.198750004
235,,0.939999998,0.903124988,0.853124976,0.600624979,0.209999993
236,,0.93968749,0.8984375,0.842187524,0.595624983,0.204687506
237,,0.938750029,0.910937488,0.847500026,0.596562505,0.193437502
238,,0.939062476,0.909062505,0.86156249,0.599687517,0.200625002
239,,0.950312495,0.901562512,0.839375019,0.605624974,0.215000004
240,,0.944062471,0.894999981,0.855624974,0.605624974,0.215625003
241,,0.941562474,0.911249995,0.849687517,0.59593749,0.205312505
242,,0.944687486,0.899375021,0.843124986,0.620625019,0.209687501
243,,0.953125,0.900312483,0.854375005,0.602500021,0.212812498
244,,0.942187488,0.906875014,0.849062502,0.612812519,0.2109375
245,,0.942187488,0.904687524,0.835312486,0.604375005,0.219374999
246,,0.950312495,0.899375021,0.836562514,0.61156249,0.204687506
247,,0.938125014,0.901250005,0.851249993,0.605312526,0.216562495
248,,0.952499986,0.905624986,0.840312481,0.612500012,0.226249993
249,,0.943750024,0.907500029,0.850624979,0.6171875,0.211250007
250,,0.9453125,0.903437495,0.845312476,0.591875017,0.222812504
251,,0.939062476,0.915000021,0.839999974,0.597500026,0.214062497
252,,0.949374974,0.913124979,0.8515625,0.611249983,0.189687505
253,,0.9453125,0.899999976,0.837812483,0.596249998,0.198750004
254,,0.940937519,0.899687529,0.84156251,0.610937476,0.205937505
255,,0.952187479,0.913437486,0.848437488,0.612187505,0.206249997
256,,0.946250021,0.902499974,0.84593749,0.609062493,0.216875002
257,,0.949687481,0.90406251,0.850312471,0.616562486,0.212500006
258,,0.943750024,0.911249995,0.848437488,0.61156249,0.199062496
259,,0.943437517,0.903750002,0.851875007,0.619062483,0.210312501
260,,0.948750019,0.901875019,0.842812479,0.612500012,0.216562495
261,,0.941874981,0.908749998,0.840624988,0.623749971,0.213437498
262,,0.946250021,0.911562502,0.853124976,0.61156249,0.220624998
263,,0.948125005,0.912187517,0.842499971,0.610625029,0.216250002
264,,0.952812493,0.905312479,0.849062502,0.607812524,0.207499996
265,,0.946562529,0.905937493,0.860312521,0.622500002,0.217812493
266,,0.941250026,0.901250005,0.860937476,0.619687498,0.209999993
267,,0.949687481,0.907500029,0.855000019,0.623437524,0.2109375
268,,0.945937514,0.911562502,0.8515625,0.613125026,0.214375004
269,,0.949062526,0.906875014,0.851875007,0.617500007,0.203749999
270,,0.9453125,0.912812471,0.850312471,0.615625024,0.212500006
271,,0.939374983,0.898750007,0.850937486,0.637812495,0.217500001
272,,0.948125005,0.90062499,0.83812499,0.621562481,0.208124995
273,,0.949687481,0.907500029,0.850624979,0.620625019,0.212500006
274,,0.95093751,0.910000026,0.84375,0.620937526,0.225624993
275,,0.952187479,0.906562507,0.856249988,0.618749976,0.210624993
276,,0.941562474,0.908749998,0.862812519,0.61937499,0.222499996
277,,0.954687476,0.910000026,0.857812524,0.63843751,0.230000004
278,,0.9453125,0.912500024,0.841875017,0.644999981,0.224687502
279,,0.94749999,0.904375017,0.851249993,0.616249979,0.217187494
280,,0.945937514,0.90843749,0.862812519,0.6328125,0.214375004
281,,0.952499986,0.912187517,0.860000014,0.619062483,0.203437507
282,,0.947812498,0.912812471,0.858437479,0.624687493,0.207812503
283,,0.944374979,0.902187526,0.841875017,0.631562471,0.223749995
284,,0.944999993,0.914375007,0.855624974,0.635937512,0.214062497
285,,0.948437512,0.912187517,0.859062493,0.621249974,0.206562504
286,,0.951874971,0.909062505,0.850937486,0.644687474,0.196875006
287,,0.947187483,0.906562507,0.849062502,0.626874983,0.219374999
288,,0.948125005,0.914687514,0.852187514,0.621562481,0.212812498
289,,0.952187479,0.917500019,0.858749986,0.642187476,0.224374995
290,,0.948125005,0.915937483,0.845312476,0.636250019,0.209374994
291,,0.951562524,0.910937488,0.863749981,0.625312507,0.224374995
292,,0.945937514,0.91624999,0.851875007,0.641562521,0.2109375
293,,0.949687481,0.921562493,0.855312526,0.634062529,0.209687501
294,,0.950312495,0.913437486,0.856875002,0.629374981,0.208437502
295,,0.947812498,0.904999971,0.858749986,0.635312498,0.205312505
296,,0.955624998,0.910312474,0.857500017,0.65843749,0.212812498
297,,0.950312495,0.903124988,0.853437483,0.645937502,0.214375004
298,,0.946562529,0.905937493,0.856562495,0.633125007,0.197187498
299,,0.950625002,0.908749998,0.859375,0.654999971,0.219374999
300,,0.938125014,0.907500029,0.853437483,0.652499974,0.230312496
301,,0.954062521,0.901875019,0.854687512,0.64625001,0.219374999
302,,0.945625007,0.920937479,0.857812524,0.653750002,0.216875002
303,,0.95093751,0.915624976,0.849062502,0.653437495,0.207499996
304,,0.95093751,0.912500024,0.865312517,0.628437519,0.225937501
305,,0.954062521,0.913749993,0.856875002,0.654687524,0.223437503
306,,0.954375029,0.910937488,0.864374995,0.64625001,0.220937505
307,,0.950312495,0.915000021,0.863749981,0.665312529,0.219687507
308,,0.947812498,0.910312474,0.863125026,0.64281249,0.223749995
309,,0.954687476,0.9140625,0.855624974,0.665000021,0.220312506
310,,0.951250017,0.910937488,0.859062493,0.662500024,0.215625003
311,,0.946874976,0.914375007,0.851875007,0.658124983,0.212812498
312,,0.956562519,0.910937488,0.855312526,0.654375017,0.209374994
313,,0.950312495,0.920624971,0.852812529,0.668437481,0.219374999
314,,0.95093751,0.907187521,0.854062498,0.65843749,0.214375004
315,,0.946874976,0.914375007,0.851249993,0.662812471,0.211562499
316,,0.94312501,0.915937483,0.871249974,0.663124979,0.213750005
317,,0.953125,0.918124974,0.858124971,0.6484375,0.217500001
318,,0.957499981,0.914687514,0.851249993,0.670000017,0.221562505
319,,0.956562519,0.913124979,0.86156249,0.665000021,0.212187499
320,,0.957812488,0.909687519,0.853437483,0.672500014,0.21875
321,,0.944374979,0.912500024,0.864687502,0.672812521,0.227187499
322,,0.954687476,0.905312479,0.868125021,0.680312514,0.219999999
323,,0.948125005,0.912812471,0.862187505,0.678437471,0.215000004
324,,0.947187483,0.913437486,0.861874998,0.682500005,0.206562504
325,,0.954687476,0.908124983,0.859375,0.672187507,0.224687502
326,,0.952187479,0.917500019,0.860000014,0.688125014,0.221249998
327,,0.949062526,0.915312529,0.858437479,0.682500005,0.21875
328,,0.952499986,0.913749993,0.862500012,0.687187493,0.221874997
329,,0.953437507,0.896875024,0.859687507,0.688437521,0.217812493
330,,0.947187483,0.917500019,0.854687512,0.679374993,0.214375004
331,,0.956562519,0.91187501,0.866249979,0.686562479,0.216250002
332,,0.953125,0.915937483,0.870000005,0.682500005,0.205937505
333,,0.9453125,0.91968751,0.855937481,0.700625002,0.230312496
334,,0.956250012,0.915312529,0.858749986,0.694687486,0.225937501
335,,0.952187479,0.921875,0.862500012,0.688125014,0.241874993
336,,0.956875026,0.908124983,0.856875002,0.684062481,0.225624993
337,,0.956250012,0.91624999,0.860937476,0.697812498,0.212812498
338,,0.952187479,0.915937483,0.863749981,0.704999983,0.214375004
339,,0.95531249,0.921875,0.860000014,0.704375029,0.203125
340,,0.957812488,0.917187512,0.859687507,0.683125019,0.2109375
341,,0.952187479,0.91968751,0.8671875,0.703437507,0.216250002
342,,0.95093751,0.910312474,0.863437474,0.704687476,0.220937505
343,,0.95093751,0.921875,0.849687517,0.712187529,0.212500006
344,,0.948750019,0.918749988,0.864687502,0.692187488,0.220937505
345,,0.954687476,0.90843749,0.865937471,0.719062507,0.225624993
346,,0.953437507,0.919062495,0.86937499,0.716250002,0.220624998
347,,0.950312495,0.9140625,0.852812529,0.70875001,0.212187499
348,,0.946874976,0.921562493,0.866249979,0.714999974,0.230312496
349,,0.957187474,0.919375002,0.852500021,0.692499995,0.214062497
350,,0.949999988,0.920000017,0.86500001,0.717812479,0.227187499
351,,0.951562524,0.916875005,0.868749976,0.711250007,0.219687507
352,,0.957187474,0.916875005,0.870000005,0.715937495,0.224374995
353,,0.954687476,0.912812471,0.868125021,0.717187524,0.224687502
354,,0.956562519,0.918437481,0.869687498,0.715312481,0.224062502
355,,0.956562519,0.918437481,0.856562495,0.709687471,0.214375004
356,,0.959687471,0.914375007,0.86500001,0.718437493,0.206874996
357,,0.959375024,0.919375002,0.863437474,0.717499971,0.223749995
358,,0.947812498,0.915937483,0.871249974,0.7265625,0.223124996
359,,0.946250021,0.92406249,0.862812519,0.719687521,0.221249998
360,,0.95875001,0.904999971,0.858124971,0.7109375,0.222187504
361,,0.949687481,0.912812471,0.865312517,0.706562519,0.216250002
362,,0.949062526,0.91624999,0.868125021,0.729687512,0.222499996
363,,0.954999983,0.928749979,0.859687507,0.733437479,0.211562499
364,,0.947812498,0.919375002,0.872500002,0.711250007,0.223437503
365,,0.959687471,0.914687514,0.86937499,0.725624979,0.210312501
366,,0.953125,0.914687514,0.870625019,0.711875021,0.215000004
367,,0.953750014,0.920624971,0.865312517,0.725312471,0.221249998
368,,0.960624993,0.917500019,0.863437474,0.730624974,0.228750005
369,,0.956250012,0.922500014,0.865312517,0.727187514,0.215000004
370,,0.955624998,0.912812471,0.868749976,0.737812519,0.221874997
371,,0.953437507,0.920312524,0.865312517,0.717187524,0.223437503
372,,0.959062517,0.92406249,0.86500001,0.738125026,0.233437493
373,,0.954999983,0.9140625,0.857812524,0.733437479,0.215312496
374,,0.954375029,0.920624971,0.854062498,0.727500021,0.221249998
375,,0.958124995,0.922187507,0.860625029,0.739687502,0.228750005
376,,0.95531249,0.916875005,0.873749971,0.730000019,0.233125001
377,,0.954999983,0.914687514,0.863749981,0.734375,0.21875
378,,0.954375029,0.913437486,0.873749971,0.732500017,0.211250007
379,,0.953437507,0.922812521,0.875,0.741562486,0.221249998
380,,0.953125,0.917187512,0.863125026,0.740625024,0.224687502
381,,0.953437507,0.915000021,0.861249983,0.735000014,0.215000004
382,,0.958124995,0.924374998,0.868437529,0.733749986,0.220624998
383,,0.954999983,0.921875,0.86937499,0.725624979,0.219062507
384,,0.951562524,0.915312529,0.857500017,0.716875017,0.211562499
385,,0.956562519,0.920000017,0.865625024,0.731249988,0.206562504
386,,0.954687476,0.923437476,0.869687498,0.734375,0.223124996
387,,0.955624998,0.924687505,0.856562495,0.744062483,0.223124996
388,,0.957187474,0.923437476,0.878125012,0.725937486,0.227187499
389,,0.957499981,0.91968751,0.870937526,0.731875002,0.232187495
390,,0.957187474,0.922187507,0.873437524,0.730000019,0.2265625
391,,0.954687476,0.919062495,0.879687488,0.746249974,0.208124995
392,,0.954375029,0.922500014,0.865625024,0.746874988,0.210624993
393,,0.958124995,0.923437476,0.869062483,0.731875002,0.214687496
394,,0.957499981,0.917500019,0.870937526,0.73218751,0.233125001
395,,0.957187474,0.925312519,0.869062483,0.735000014,0.224999994
396,,0.962499976,0.923125029,0.867500007,0.739374995,0.224999994
397,,0.953125,0.915312529,0.869687498,0.731562495,0.230000004
398,,0.956875026,0.918124974,0.873437524,0.730937481,0.216875002
399,,0.958437502,0.921562493,0.870312512,0.735312521,0.234375
400,,0.957812488,0.928125024,0.870625019,0.74781251,0.214062497
401,,0.954062521,0.918749988,0.86156249,0.732812524,0.232812494
402,,0.954375029,0.91624999,0.871249974,0.744687498,0.219062507
403,,0.950625002,0.91624999,0.868125021,0.743125021,0.221562505
404,,0.958124995,0.911249995,0.8671875,0.74000001,0.215312496
405,,0.959375024,0.917500019,0.870312512,0.740937471,0.226249993
406,,0.957187474,0.927187502,0.86500001,0.741562486,0.214062497
407,,0.959687471,0.926249981,0.868437529,0.740625024,0.219062507
408,,0.953750014,0.926249981,0.880312502,0.740625024,0.224374995
409,,0.95875001,0.920624971,0.873437524,0.754687488,0.211250007
410,,0.957499981,0.916562498,0.8671875,0.72874999,0.230312496
411,,0.955624998,0.918124974,0.872500002,0.763125002,0.224062502
412,,0.954375029,0.921875,0.866562486,0.741562486,0.209374994
413,,0.957499981,0.919062495,0.874687493,0.735937476,0.211875007
414,,0.951562524,0.924687505,0.860312521,0.752812505,0.231250003
415,,0.956250012,0.925625026,0.858749986,0.739687502,0.222499996
416,,0.959687471,0.925312519,0.875937521,0.75562501,0.224062502
417,,0.956875026,0.918124974,0.871249974,0.745000005,0.222499996
418,,0.958124995,0.924687505,0.875937521,0.739374995,0.226875007
419,,0.961562514,0.931562483,0.878750026,0.740937471,0.219062507
420,,0.953750014,0.929062486,0.875312507,0.747187495,0.227187499
421,,0.961875021,0.927187502,0.858437479,0.740937471,0.216562495
422,,0.962812483,0.923125029,0.875937521,0.725624979,0.216562495
