Wall time,Step,Value
1542336231.183041,0,0.09587500244379044
1542336234.958851,1,0.10724999755620956
1542336238.811647,2,0.12956249713897705
1542336242.871512,3,0.15062500536441803
1542336246.459714,4,0.17868749797344208
1542336250.388056,5,0.20268750190734863
1542336254.445648,6,0.22581249475479126
1542336258.155248,7,0.2549999952316284
1542336261.901422,8,0.2927500009536743
1542336266.01763,9,0.3165000081062317
1542336269.87414,10,0.34375
1542336273.469714,11,0.36656248569488525
1542336277.474085,12,0.3981874883174896
1542336281.572609,13,0.4124374985694885
1542336285.051002,14,0.4320000112056732
1542336289.285297,15,0.4555625021457672
1542336293.272936,16,0.4636250138282776
1542336297.086232,17,0.4751875102519989
1542336300.958245,18,0.4820624887943268
1542336304.870977,19,0.4950000047683716
1542336308.477754,20,0.5098749995231628
1542336312.652029,21,0.5178124904632568
1542336316.513527,22,0.5183749794960022
1542336320.032891,23,0.5257499814033508
1542336324.118362,24,0.5347499847412109
1542336328.161528,25,0.5366250276565552
1542336331.716448,26,0.5456874966621399
1542336335.926005,27,0.5658749938011169
1542336339.921755,28,0.562624990940094
1542336343.759754,29,0.5588124990463257
1542336347.670278,30,0.5702499747276306
1542336351.663888,31,0.5705000162124634
1542336355.608496,32,0.5703125
1542336359.358881,33,0.5707499980926514
1542336363.363404,34,0.5834375023841858
1542336367.371083,35,0.5929999947547913
1542336371.097238,36,0.5888124704360962
1542336375.337751,37,0.6001250147819519
1542336379.397623,38,0.5914375185966492
1542336382.934473,39,0.6008750200271606
1542336386.819157,40,0.6033124923706055
1542336391.026428,41,0.6006249785423279
1542336394.886135,42,0.612625002861023
1542336398.537235,43,0.6113125085830688
1542336402.693918,44,0.6122499704360962
1542336406.730638,45,0.612500011920929
1542336410.37061,46,0.6209999918937683
1542336414.398719,47,0.616812527179718
1542336418.473137,48,0.6210625171661377
1542336422.347166,49,0.6263750195503235
1542336426.199895,50,0.6311874985694885
1542336430.174937,51,0.6296250224113464
1542336434.223513,52,0.6320000290870667
1542336437.784278,53,0.6288124918937683
1542336441.838798,54,0.6334375143051147
1542336445.952937,55,0.6358749866485596
1542336449.529037,56,0.6263124942779541
1542336453.497162,57,0.643875002861023
1542336457.721208,58,0.6352499723434448
1542336461.397536,59,0.6424375176429749
1542336465.216513,60,0.6380000114440918
1542336469.529538,61,0.6425625085830688
1542336473.610846,62,0.640500009059906
1542336477.362258,63,0.6423125267028809
1542336481.309618,64,0.6460624933242798
1542336485.361298,65,0.6463124752044678
1542336489.014497,66,0.6449999809265137
1542336492.905859,67,0.6474999785423279
1542336497.104539,68,0.6491249799728394
1542336500.789161,69,0.653249979019165
1542336504.751558,70,0.6571875214576721
1542336508.706751,71,0.6520624756813049
1542336512.699951,72,0.6589375138282776
1542336516.20687,73,0.6567500233650208
1542336519.644826,74,0.6543124914169312
1542336523.195793,75,0.6569374799728394
1542336526.647306,76,0.6576874852180481
1542336530.077519,77,0.6550624966621399
1542336533.646198,78,0.6597499847412109
1542336537.078422,79,0.6565625071525574
1542336540.56057,80,0.6595625281333923
1542336544.122724,81,0.6628749966621399
1542336547.669032,82,0.668624997138977
1542336551.133986,83,0.6621875166893005
1542336554.5826,84,0.6656249761581421
1542336558.150968,85,0.6623125076293945
1542336561.621171,86,0.6651874780654907
1542336565.069908,87,0.6620625257492065
1542336568.548796,88,0.653124988079071
1542336572.121877,89,0.6642500162124634
1542336575.613841,90,0.6654999852180481
1542336579.102009,91,0.6572499871253967
