Wall time,Step,Value
1542330593.771035,0,15.571953773498535
1542330598.626903,1,14.392067909240723
1542330603.967492,2,14.2225341796875
1542330609.302355,3,14.081734657287598
1542330614.742451,4,13.882318496704102
1542330620.34314,5,13.716062545776367
1542330626.367278,6,13.48861312866211
1542330631.647289,7,13.294719696044922
1542330636.938615,8,13.084273338317871
1542330642.371566,9,12.856441497802734
1542330648.699328,10,12.580789566040039
1542330654.203744,11,12.336426734924316
1542330659.734253,12,12.091541290283203
1542330665.177394,13,11.862432479858398
1542330670.571027,14,11.596695899963379
1542330676.3349,15,11.335164070129395
1542330682.09774,16,11.127702713012695
1542330687.306709,17,10.9268217086792
1542330693.086389,18,10.70426082611084
1542330698.540582,19,10.452886581420898
1542330704.057863,20,10.294221878051758
1542330709.725781,21,10.10341739654541
1542330715.767041,22,9.987130165100098
1542330723.646912,23,9.797688484191895
1542330730.538763,24,9.681014060974121
1542330737.830253,25,9.518251419067383
1542330745.212546,26,9.440634727478027
1542330752.659309,27,9.33007526397705
1542330759.529781,28,9.227134704589844
1542330766.419284,29,9.080160140991211
1542330773.913762,30,9.06149673461914
1542330781.428392,31,8.976923942565918
1542330789.097695,32,8.853479385375977
1542330796.297983,33,8.777541160583496
1542330803.815098,34,8.742952346801758
1542330811.488887,35,8.667268753051758
1542330819.084718,36,8.615545272827148
1542330826.455239,37,8.465716361999512
1542330833.564042,38,8.456252098083496
1542330841.058022,39,8.420085906982422
1542330847.735866,40,8.361519813537598
1542330854.62927,41,8.314687728881836
1542330862.025881,42,8.17063045501709
1542330869.835262,43,8.195923805236816
1542330877.565115,44,8.20900821685791
1542330884.678718,45,8.058554649353027
1542330892.007516,46,8.050952911376953
1542330899.577932,47,8.041361808776855
1542330907.35369,48,7.969981670379639
1542330914.132846,49,7.944108009338379
1542330921.23237,50,7.919030666351318
1542330928.864679,51,7.843268394470215
1542330936.156188,52,7.848495006561279
1542330943.494096,53,7.7780375480651855
1542330951.39601,54,7.7840423583984375
1542330959.211212,55,7.78663969039917
1542330966.719463,56,7.715353965759277
1542330973.904565,57,7.654843807220459
1542330980.290742,58,7.551079273223877
1542330986.901728,59,7.669058799743652
1542330994.01298,60,7.620500087738037
1542331000.86264,61,7.58582878112793
1542331008.340023,62,7.592211723327637
1542331015.646805,63,7.507655143737793
1542331022.165686,64,7.515577793121338
1542331030.645366,65,7.516023635864258
1542331039.064314,66,7.487112045288086
1542331046.324716,67,7.42531156539917
1542331053.588386,68,7.474043846130371
1542331059.926735,69,7.377377986907959
1542331066.983727,70,7.426922798156738
1542331074.298016,71,7.362005233764648
1542331082.065248,72,7.375733375549316
1542331089.887183,73,7.314571380615234
1542331096.610626,74,7.330692291259766
1542331103.568469,75,7.395383834838867
1542331110.462609,76,7.286426067352295
1542331117.743302,77,7.303865909576416
1542331125.655983,78,7.235389709472656
1542331132.326688,79,7.285401821136475
1542331138.941233,80,7.236257553100586
1542331146.597295,81,7.226660251617432
1542331154.402173,82,7.261016368865967
1542331161.381042,83,7.201986312866211
1542331168.811229,84,7.232545375823975
1542331176.352025,85,7.139761447906494
1542331184.002618,86,7.175882816314697
1542331191.443159,87,7.138578414916992
1542331198.591725,88,7.163965225219727
1542331205.8755,89,7.140535831451416
1542331213.432971,90,7.132960796356201
1542331220.981542,91,7.12700891494751
1542331228.147664,92,7.161579132080078
1542331235.648164,93,7.086953163146973
1542331242.517439,94,7.090233325958252
1542331249.928802,95,7.058089733123779
1542331257.703526,96,7.141882419586182
1542331264.892165,97,7.083165168762207
1542331272.417061,98,7.010497093200684
1542331279.575778,99,7.013402462005615
1542331286.172128,100,7.05184268951416
1542331293.217372,101,7.011123180389404
1542331300.492739,102,7.03786563873291
1542331307.832776,103,6.99568510055542
1542331315.382788,104,7.009372711181641
1542331322.511125,105,7.0282793045043945
1542331329.624154,106,7.020920753479004
1542331337.045072,107,7.017241477966309
1542331344.508516,108,6.943666458129883
1542331351.579081,109,6.935105323791504
1542331359.168292,110,6.978344917297363
1542331366.058204,111,6.962963104248047
1542331373.27358,112,6.981994152069092
