Wall time,Step,Value
1542330593.769142,0,82.4505615234375
1542330598.620442,1,86.44890594482422
1542330603.965978,2,87.32141876220703
1542330609.300828,3,87.2916488647461
1542330614.740903,4,89.76473999023438
1542330620.341973,5,89.82840728759766
1542330626.365816,6,89.25708770751953
1542330631.645823,7,87.96991729736328
1542330636.937188,8,86.48827362060547
1542330642.370051,9,88.01197814941406
1542330648.697887,10,88.98075866699219
1542330654.202375,11,84.203857421875
1542330659.732618,12,88.5426025390625
1542330665.176187,13,82.81396484375
1542330670.569607,14,84.975830078125
1542330676.333341,15,84.10707092285156
1542330682.096344,16,89.9205093383789
1542330687.305301,17,89.87982177734375
1542330693.08506,18,83.58843994140625
1542330698.538955,19,73.91277313232422
1542330704.056335,20,87.85611724853516
1542330709.724279,21,83.43004608154297
1542330715.758073,22,82.14837646484375
1542330723.643803,23,80.7601089477539
1542330730.535716,24,86.23686218261719
1542330737.828713,25,78.05809783935547
1542330745.211147,26,83.57514190673828
1542330752.657728,27,78.98994445800781
1542330759.528172,28,80.29450988769531
1542330766.417596,29,79.66383361816406
1542330773.909883,30,75.69607543945312
1542330781.426609,31,78.11193084716797
1542330789.094906,32,78.23725128173828
1542330796.293697,33,75.5313720703125
1542330803.813624,34,71.4093246459961
1542330811.486055,35,70.97463989257812
1542330819.082189,36,78.78117370605469
1542330826.452938,37,74.56993103027344
1542330833.562367,38,71.89897155761719
1542330841.05658,39,77.7345962524414
1542330847.734209,40,75.0945053100586
1542330854.627369,41,74.99992370605469
1542330862.01679,42,74.79354858398438
1542330869.8339,43,78.28949737548828
1542330877.563628,44,73.6304931640625
1542330884.675492,45,72.47098541259766
1542330892.00514,46,74.04114532470703
1542330899.576467,47,78.07084655761719
1542330907.352292,48,77.345947265625
1542330914.131262,49,70.77584075927734
1542330921.229524,50,70.36552429199219
1542330928.854705,51,77.7412109375
1542330936.154734,52,71.55057525634766
1542330943.491281,53,71.90921020507812
1542330951.391695,54,79.41658782958984
1542330959.209363,55,71.64619445800781
1542330966.717774,56,75.5275650024414
1542330973.903012,57,72.40898895263672
1542330980.289346,58,73.52949523925781
1542330986.898792,59,64.07772827148438
1542330994.011749,60,75.7602310180664
1542331000.861255,61,71.1570053100586
1542331008.338443,62,69.289306640625
1542331015.645437,63,73.91213989257812
1542331022.163463,64,65.34539031982422
1542331030.643936,65,68.7989501953125
1542331039.062946,66,68.61101531982422
1542331046.322999,67,72.38248443603516
1542331053.586193,68,70.73892974853516
1542331059.924516,69,68.72290802001953
1542331066.982026,70,63.63142776489258
1542331074.296618,71,73.03426361083984
1542331082.06341,72,70.22882843017578
1542331089.88084,73,70.91387939453125
1542331096.602336,74,68.96278381347656
1542331103.567161,75,67.09970092773438
