Wall time,Step,Value
1542330718.800945,0,14.735776901245117
1542330722.067293,1,13.421995162963867
1542330724.832631,2,12.542816162109375
1542330727.596597,3,11.850099563598633
1542330730.227427,4,11.244515419006348
1542330732.889566,5,10.699992179870605
1542330735.939942,6,10.269918441772461
1542330738.651741,7,9.936338424682617
1542330741.323601,8,9.594025611877441
1542330744.71561,9,9.354248046875
1542330747.467424,10,9.10523509979248
1542330750.343693,11,8.934976577758789
1542330753.519296,12,8.767108917236328
1542330756.302676,13,8.652870178222656
1542330759.775944,14,8.478964805603027
1542330762.45319,15,8.31263256072998
1542330765.734336,16,8.254704475402832
1542330768.554435,17,8.176755905151367
1542330771.421384,18,8.031270980834961
1542330774.611456,19,7.97723913192749
1542330777.363059,20,7.901709079742432
1542330780.987235,21,7.868290901184082
1542330783.667937,22,7.724119186401367
1542330786.689622,23,7.711429119110107
1542330790.0312,24,7.60807991027832
1542330792.730128,25,7.692874908447266
1542330796.238512,26,7.539170742034912
1542330798.951048,27,7.481718063354492
1542330802.019677,28,7.498878002166748
1542330804.673445,29,7.4211931228637695
1542330807.44058,30,7.416159152984619
1542330810.9572,31,7.371192932128906
1542330813.534128,32,7.318429470062256
1542330816.446063,33,7.302393436431885
1542330819.620226,34,7.286135673522949
1542330822.295921,35,7.260229587554932
1542330825.763415,36,7.158553123474121
1542330828.553619,37,7.200549125671387
1542330831.514064,38,7.199182510375977
1542330834.631857,39,7.139169692993164
1542330837.30185,40,7.135295867919922
1542330841.115995,41,7.129637718200684
1542330843.735906,42,7.1163330078125
1542330847.019381,43,7.055731296539307
1542330849.908559,44,7.0298662185668945
1542330852.745191,45,7.013184547424316
1542330856.004747,46,7.002484321594238
1542330858.653425,47,7.027346611022949
1542330862.722974,48,6.965714931488037
1542330865.323713,49,6.954990386962891
1542330869.119005,50,6.967222690582275
1542330871.92147,51,6.95510196685791
1542330874.762605,52,6.896340370178223
1542330878.25887,53,6.94145393371582
1542330881.052163,54,6.904706001281738
1542330884.721557,55,6.890631675720215
1542330887.23854,56,6.871883869171143
1542330890.254097,57,6.894848346710205
1542330893.506816,58,6.7957940101623535
1542330896.256105,59,6.839437484741211
1542330899.979308,60,6.845547676086426
1542330902.802622,61,6.83616828918457
1542330906.227762,62,6.826587677001953
1542330909.026799,63,6.796050548553467
1542330911.732948,64,6.765687942504883
1542330915.406146,65,6.76306676864624
1542330918.042356,66,6.743642807006836
1542330921.769295,67,6.79900598526001
1542330924.327511,68,6.785617351531982
1542330927.620868,69,6.7311811447143555
1542330930.577891,70,6.714170932769775
1542330933.334186,71,6.753450393676758
1542330936.935019,72,6.765132427215576
1542330939.581338,73,6.69254207611084
1542330943.116899,74,6.663640022277832
1542330945.872966,75,6.727210998535156
1542330948.700577,76,6.731810092926025
1542330951.709462,77,6.635659217834473
1542330954.546635,78,6.66983699798584
1542330957.749977,79,6.65896463394165
1542330960.479712,80,6.647076606750488
1542330963.230174,81,6.679129123687744
1542330966.811156,82,6.606019496917725
1542330969.483384,83,6.643552780151367
1542330972.709581,84,6.6010518074035645
1542330975.748461,85,6.64782190322876
1542330978.557048,86,6.630427837371826
1542330981.751483,87,6.668906211853027
1542330984.41299,88,6.559229373931885
1542330987.870627,89,6.529545307159424
1542330990.604415,90,6.601288318634033
1542330993.973729,91,6.605629920959473
1542330996.754184,92,6.61587381362915
1542330999.74987,93,6.609679698944092
1542331002.252918,94,6.547996520996094
1542331004.963184,95,6.524594783782959
1542331008.529032,96,6.536460876464844
1542331011.220068,97,6.589437007904053
1542331014.661167,98,6.510776042938232
1542331017.359836,99,6.526974201202393
1542331020.030905,100,6.548127174377441
1542331023.331853,101,6.4769439697265625
1542331026.061027,102,6.559401988983154
1542331029.86172,103,6.502396583557129
1542331032.477843,104,6.512153625488281
1542331035.227752,105,6.507774353027344
