Wall time,Step,Value
1535131067.565618,0,0.004999999888241291
1535131068.181942,1,0.007499999832361937
1535131068.7680519,2,0.004062499850988388
1535131069.3571398,3,0.006874999962747097
1535131069.9539993,4,0.005625000223517418
1535131070.5503123,5,0.006874999962747097
1535131071.122715,6,0.004687500186264515
1535131071.700959,7,0.004999999888241291
1535131072.2884188,8,0.006874999962747097
1535131072.8742723,9,0.009062499739229679
1535131073.484231,10,0.009999999776482582
1535131074.0663662,11,0.009062499739229679
1535131074.6488402,12,0.004687500186264515
1535131075.2297566,13,0.010625000111758709
1535131075.8170426,14,0.006562499795109034
1535131076.4072456,15,0.009687500074505806
1535131077.07936,16,0.0062500000931322575
1535131077.6746294,17,0.008437500335276127
1535131078.2591057,18,0.004687500186264515
1535131078.851619,19,0.0078125
1535131079.4337595,20,0.008750000037252903
1535131080.063089,21,0.013749999925494194
1535131080.6446521,22,0.011562500149011612
1535131081.2193582,23,0.012187499552965164
1535131081.7983887,24,0.0062500000931322575
1535131082.4035106,25,0.009687500074505806
1535131082.998367,26,0.005937499925494194
1535131083.5916247,27,0.005937499925494194
1535131084.1708574,28,0.006874999962747097
1535131084.7591379,29,0.005625000223517418
1535131085.3353496,30,0.007499999832361937
1535131085.9178562,31,0.0031250000465661287
1535131086.4896858,32,0.0062500000931322575
1535131087.1708605,33,0.0053125000558793545
1535131087.7529895,34,0.007499999832361937
1535131088.345751,35,0.008124999701976776
1535131088.9406114,36,0.009687500074505806
1535131089.5221522,37,0.009687500074505806
1535131090.121806,38,0.012500000186264515
1535131090.6975842,39,0.012500000186264515
1535131091.275844,40,0.010937499813735485
1535131091.8818474,41,0.009062499739229679
1535131092.4719594,42,0.009999999776482582
1535131093.116253,43,0.012187499552965164
1535131093.7039583,44,0.010625000111758709
1535131094.2875552,45,0.00937500037252903
1535131094.8767233,46,0.008437500335276127
1535131095.4729562,47,0.008750000037252903
1535131096.063666,48,0.009687500074505806
1535131096.6472952,49,0.012187499552965164
1535131097.3290958,50,0.010312500409781933
1535131097.9145396,51,0.008124999701976776
1535131098.5025203,52,0.009687500074505806
1535131099.0933197,53,0.0053125000558793545
1535131099.6832135,54,0.009687500074505806
1535131100.2897995,55,0.011874999850988388
1535131100.8778055,56,0.012812499888241291
1535131101.4773204,57,0.0071875001303851604
1535131102.065134,58,0.010625000111758709
1535131102.6543264,59,0.008750000037252903
1535131103.2367191,60,0.010312500409781933
1535131103.8901012,61,0.006562499795109034
1535131104.485366,62,0.010937499813735485
1535131105.0684376,63,0.006874999962747097
1535131105.6594265,64,0.010312500409781933
1535131106.2404065,65,0.007499999832361937
1535131106.8165252,66,0.009999999776482582
1535131107.4979525,67,0.010312500409781933
1535131108.09312,68,0.009999999776482582
1535131108.6749036,69,0.00937500037252903
1535131109.2589142,70,0.008124999701976776
1535131109.871319,71,0.010625000111758709
1535131110.455115,72,0.011250000447034836
1535131111.0406787,73,0.014999999664723873
1535131111.629303,74,0.011562500149011612
1535131112.2081013,75,0.011250000447034836
1535131112.8031352,76,0.013124999590218067
1535131113.387958,77,0.014687499962747097
1535131113.9767003,78,0.011250000447034836
1535131114.636116,79,0.011250000447034836
1535131115.221723,80,0.015625
1535131115.813299,81,0.012187499552965164
1535131116.4028053,82,0.012812499888241291
1535131116.9821694,83,0.013749999925494194
1535131117.6675394,84,0.012500000186264515
1535131118.2625418,85,0.011874999850988388
1535131118.8564484,86,0.011250000447034836
1535131119.445523,87,0.01718750037252903
1535131120.0298061,88,0.014687499962747097
1535131120.614696,89,0.013437500223517418
1535131121.208171,90,0.01656249910593033
1535131121.7905014,91,0.015312500298023224
1535131122.3795145,92,0.012812499888241291
1535131122.9641702,93,0.011874999850988388
1535131123.5396416,94,0.011874999850988388
1535131124.1265068,95,0.012500000186264515
1535131124.6926658,96,0.00937500037252903
1535131125.2906775,97,0.00937500037252903
1535131125.8585536,98,0.011874999850988388
1535131126.4979494,99,0.0078125
1535131127.0930421,100,0.007499999832361937
1535131127.7769747,101,0.010937499813735485
1535131128.3544548,102,0.009687500074505806
1535131128.9480371,103,0.009062499739229679
1535131129.5355096,104,0.006874999962747097
