Wall time,Step,Value
1535649519.0090628,0,0.09718749672174454
1535649523.4362206,1,0.09062500298023224
1535649528.0210907,2,0.08062499761581421
1535649531.2274761,3,0.07312499731779099
1535649534.8293734,4,0.07874999940395355
1535649538.9118102,5,0.06718750298023224
1535649543.3599107,6,0.07124999910593033
1535649546.9554863,7,0.07531250268220901
1535649551.3594203,8,0.07093749940395355
1535649556.330934,9,0.06531249731779099
1535649560.8073144,10,0.06031249836087227
1535649564.6922457,11,0.06812500208616257
1535649569.2178974,12,0.07843749970197678
1535649574.1228428,13,0.06062500178813934
1535649577.278252,14,0.06656250357627869
1535649581.2824376,15,0.06093750149011612
1535649584.645334,16,0.06093750149011612
1535649588.9207807,17,0.0625
1535649592.993856,18,0.05781250074505806
1535649596.9578052,19,0.05937499925494194
1535649600.9851348,20,0.05656249821186066
1535649605.4539912,21,0.05781250074505806
1535649609.4608176,22,0.0546875
1535649613.543826,23,0.05843750014901161
1535649617.758664,24,0.059062499552965164
1535649622.8397133,25,0.05406250059604645
1535649625.9443345,26,0.05000000074505806
1535649632.20474,27,0.059062499552965164
1535649634.9625914,28,0.05531249940395355
1535649638.4264767,29,0.05718750134110451
1535649642.7968147,30,0.05218749865889549
1535649647.5807867,31,0.05156249925494194
1535649651.080454,32,0.05781250074505806
1535649655.5940287,33,0.054375000298023224
1535649659.1856658,34,0.061250001192092896
1535649662.973432,35,0.05249999836087227
1535649667.2747443,36,0.05562499910593033
1535649672.252568,37,0.05624999850988388
1535649677.068976,38,0.05000000074505806
1535649681.5098119,39,0.0546875
1535649685.6591372,40,0.051249999552965164
1535649690.1802793,41,0.051249999552965164
1535649694.190616,42,0.05874999985098839
1535649698.433789,43,0.05687500163912773
1535649702.0666678,44,0.050312500447034836
1535649707.0352333,45,0.05406250059604645
1535649711.3989418,46,0.05062500014901161
1535649715.9239705,47,0.05249999836087227
1535649720.2719479,48,0.051249999552965164
1535649725.6271062,49,0.057500001043081284
1535649730.5842657,50,0.05406250059604645
1535649735.1378639,51,0.05281250178813934
1535649740.9005992,52,0.046562500298023224
1535649744.3241262,53,0.0625
1535649748.5986147,54,0.0625
1535649753.313475,55,0.05000000074505806
1535649756.4926896,56,0.057500001043081284
1535649760.725458,57,0.059687498956918716
1535649764.0549767,58,0.05312500149011612
1535649768.4954865,59,0.06499999761581421
1535649773.7327328,60,0.051874998956918716
1535649779.4827547,61,0.046562500298023224
1535649782.624783,62,0.05531249940395355
1535649786.4228754,63,0.059687498956918716
1535649790.4072728,64,0.05687500163912773
1535649794.066335,65,0.050312500447034836
1535649798.0148194,66,0.055937498807907104
1535649802.2480404,67,0.045625001192092896
1535649806.0003917,68,0.04874999821186066
1535649810.8613095,69,0.059062499552965164
1535649814.9954398,70,0.049687501043081284
1535649819.0507574,71,0.06406249850988388
1535649823.446511,72,0.051874998956918716
1535649826.7877543,73,0.048124998807907104
1535649830.5849323,74,0.04468749836087227
1535649834.955284,75,0.05937499925494194
1535649838.9911642,76,0.06343749910593033
1535649844.2044902,77,0.053437501192092896
1535649848.814253,78,0.05562499910593033
1535649852.967186,79,0.05999999865889549
1535649857.5739453,80,0.05624999850988388
1535649861.8611856,81,0.054375000298023224
1535649866.874841,82,0.05156249925494194
1535649870.9586053,83,0.06187500059604645
1535649876.1209557,84,0.045625001192092896
1535649880.3402064,85,0.04749999940395355
1535649883.573281,86,0.05000000074505806
1535649887.8683932,87,0.062187500298023224
1535649892.6843183,88,0.05312500149011612
1535649895.8567631,89,0.05874999985098839
1535649899.3499837,90,0.05093749985098839
1535649903.2043242,91,0.059687498956918716
1535649907.6682878,92,0.05999999865889549
1535649911.611826,93,0.05093749985098839
1535649915.2020223,94,0.04906250163912773
1535649919.4589639,95,0.054375000298023224
1535649923.69544,96,0.054999999701976776
1535649926.9691792,97,0.053437501192092896
1535649931.075431,98,0.059062499552965164
1535649934.5835612,99,0.05937499925494194
1535649938.9135551,100,0.05531249940395355
1535649942.9716012,101,0.05624999850988388
1535649947.3258069,102,0.05718750134110451
1535649952.1908894,103,0.05093749985098839
1535649955.7896469,104,0.053437501192092896
1535649959.5865383,105,0.05093749985098839
1535649962.4671214,106,0.051249999552965164
1535649966.9026682,107,0.05562499910593033
1535649971.3924582,108,0.06624999642372131
1535649975.6687877,109,0.061250001192092896
1535649980.2201302,110,0.05781250074505806
1535649983.307775,111,0.05937499925494194
1535649988.213485,112,0.051874998956918716
1535649992.8998837,113,0.05874999985098839
1535649996.417573,114,0.054999999701976776
1535650000.8088853,115,0.051874998956918716
1535650004.9984682,116,0.053437501192092896
1535650009.2838092,117,0.055937498807907104
1535650014.055089,118,0.05312500149011612
1535650017.7190256,119,0.05843750014901161
1535650021.268137,120,0.058125000447034836
1535650024.9012525,121,0.06031249836087227
1535650029.6506972,122,0.058125000447034836
1535650033.3005686,123,0.06187500059604645
1535650036.7416832,124,0.04749999940395355
1535650040.64794,125,0.06031249836087227
1535650045.1368082,126,0.04781249910593033
1535650049.1315126,127,0.051249999552965164
1535650053.7764165,128,0.05281250178813934
1535650057.3285856,129,0.05624999850988388
1535650060.1400921,130,0.05249999836087227
1535650064.0144393,131,0.059687498956918716
1535650067.2499435,132,0.05624999850988388
1535650072.2702997,133,0.06031249836087227
1535650075.492459,134,0.05718750134110451
1535650079.1412866,135,0.05562499910593033
1535650083.601104,136,0.05375000089406967
1535650087.3023763,137,0.055937498807907104
1535650091.1203184,138,0.059062499552965164
1535650096.2022097,139,0.06562499701976776
1535650101.1951919,140,0.05406250059604645
1535650104.067553,141,0.05937499925494194
1535650108.3167932,142,0.05062500014901161
1535650112.9083304,143,0.054375000298023224
1535650116.420308,144,0.05249999836087227
